	filename	orbital.tightening	nose.bulge	cheek.bulge	ear.position	whisker.change	average.picture	rejected
1	MVI_0386_LE025_w0_t1_vb_00_min_00_sec_0.png	3	2	3	2	2	2.4	0
2	MVI_0386_LE025_w0_t1_vb_00_min_06_sec_0.png	3	3	3	4	3	3.2	0
3	MVI_0386_LE025_w0_t1_vb_00_min_09_sec_0.png	4	4	4	2	3	3.4	0
4	MVI_0386_LE025_w0_t1_vb_01_min_42_sec_16.png	3	3	4	5	4	3.8	0
5	MVI_0386_LE025_w0_t1_vb_02_min_09_sec_24.png	4	3	4	4	3	3.6	0
6	MVI_0386_LE025_w0_t1_vb_03_min_30_sec_40.png	5	3	4	5	3	4	0
7	MVI_0386_LE025_w0_t1_vb_03_min_36_sec_40.png	4	3	4	5	4	4	0
8	MVI_0386_LE025_w0_t1_vb_03_min_42_sec_40.png	5	4	4	5	4	4.4	0
9	MVI_0386_LE025_w0_t1_vb_04_min_30_sec_52.png	6	5	4	5	3	4.6	0
10	MVI_0386_LE025_w0_t1_vb_04_min_33_sec_52.png	5	4	4	5	3	4.2	0
11	MVI_0386_LE026_w0_t1_vb_00_min_03_sec_0.png	3	3	3	4	3	3.2	0
12	MVI_0386_LE026_w0_t1_vb_01_min_36_sec_16.png	4	3	4	5	-1	4	0
13	MVI_0386_LE026_w0_t1_vb_01_min_51_sec_20.png	5	4	5	5	-1	4.75	0
14	MVI_0392_LE034_w0_t2_vb_04_min_23_sec_28.png	0	0	0	0	0	0	1
15	MVI_0392_LE034_w0_t2_vb_00_min_33_sec_64.png	0	0	0	0	0	0	1
16	MVI_0386_LE026_w0_t1_vb_03_min_30_sec_40.png	4	3	4	5	4	4	0
17	MVI_0386_LE026_w0_t1_vb_03_min_42_sec_40.png	3	4	3	5	-1	3.75	0
18	MVI_0386_LE026_w0_t1_vb_03_min_54_sec_44.png	5	4	4	5	4	4.4	0
19	MVI_0386_LE026_w0_t1_vb_03_min_57_sec_44.png	6	5	4	5	4	4.8	0
20	MVI_0392_LE034_w0_t2_vb_06_min_44_sec_12.png	0	0	0	0	0	0	1
21	MVI_0386_LE026_w0_t1_vb_07_min_45_sec_88.png	4	4	4	5	4	4.2	0
22	MVI_0386_LE026_w0_t1_vb_08_min_03_sec_92.png	3	3	4	4	2	3.2	0
23	MVI_0386_LE026_w0_t1_vb_08_min_06_sec_92.png	4	3	3	4	2	3.2	0
24	MVI_0392_LE035_w0_t2_vb_04_min_20_sec_20.png	0	0	0	0	0	0	1
25	MVI_0386_LE027_w0_t1_vb_07_min_24_sec_84.png	3	3	4	-1	3	3.25	0
26	MVI_0386_LE027_w0_t1_vb_07_min_30_sec_84.png	0	0	0	0	0	0	0
27	MVI_0392_LE035_w0_t2_vb_05_min_18_sec_40.png	0	0	0	0	0	0	1
28	MVI_0386_LE028_w0_t1_vb_01_min_03_sec_12.png	3	3	3	2	2	2.6	0
29	MVI_0386_LE028_w0_t1_vb_01_min_21_sec_12.png	4	3	4	4	4	3.8	0
30	MVI_0392_LE035_w0_t2_vb_06_min_56_sec_36.png	0	0	0	0	0	0	1
